type_election;sous_type_election;region;province;commune;circonscription;type_liste;parti;nom_parti_fr;nom_parti_ar;nom_fr;nom_ar;date_mandat;date_sortie;motif_sortie;votes_parti;taux_participation;total_votes
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tétouan;;Tétouan;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;HAMID DARRAK;حميد الدراق;2021-10-08;;;5424;0,36;86087
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tétouan;;Tétouan;député;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;NOR-DDIN ELHROUCHI;نور الدين الهروشي;2021-10-08;;;5265;0,36;86087
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Chefchaouen;;Chefchaouen;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;ABDERRAHMAN EL AMRI;عبد الرحمان العمري;2021-10-08;;;31888;0,64;121193
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Chefchaouen;;Chefchaouen;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;EL AMINE EL BAKKALI TAHIRI;الامين البقالي الطاهري;2021-10-08;;;21321;0,64;121193
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Chefchaouen;;Chefchaouen;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ABDERRAHIM BOUAZZA;عبدالرحيم بوعزة;2021-10-08;;;19106;0,64;121193
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Chefchaouen;;Chefchaouen;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ISMAIL BEKKALI;اسماعيل البقالي;2021-10-08;;;17076;0,64;121193
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;;Tanger - Assilah;député;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;MOHAMED ZEMMOURI;محمد الزموري;2021-10-08;;;22821;0,33;116144
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;;Tanger - Assilah;député;PI;Parti de l'Istiqlal;حزب الاستقلال;MOHAMED HMAMI;محمد الحمامي;2021-10-08;;;21218;0,33;116144
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;;Tanger - Assilah;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ADIL DFOUF;عادل الدفوف;2021-10-08;;;20131;0,33;116144
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;;Tanger - Assilah;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;OMAR MOUROU;عمر مورو;2021-10-08;2021-11-04;Incompatibilité;19900;0,33;116144
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;;Tanger - Assilah;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;ABDELKADER TAHER;عبد القادر الطاهر;2021-10-08;;;11650;0,33;116144
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Fahs - Anjra;;Fahs - Anjra;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;ABDESLAM EL HASNAOUI;عبد السلام الحسناوي;2021-10-08;;;14643;0,7;29110
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Fahs - Anjra;;Fahs - Anjra;député;PI;Parti de l'Istiqlal;حزب الاستقلال;IDRISS SAUIR MANSOURI;ادريس ساور المنصوري;2021-10-08;;;10096;0,7;29110
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Ouezzane;;Ouezzane;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMED IHOUIYET;محمد احويط;2021-10-08;;;30619;0,66;96473
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Ouezzane;;Ouezzane;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;LARBI EL MHARCHI;العربي المحرشي;2021-10-08;;;27818;0,66;96473
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Ouezzane;;Ouezzane;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ABDELAZIZ LACHEHAB;عبد العزيز لشهب;2021-10-08;;;17214;0,66;96473
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;FATINE EL GHALI;فاتن الغالي;2021-10-08;;;300256;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;HOURIA DIDI;حورية ديدي;2021-10-08;;;262203;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;PI;Parti de l'Istiqlal;حزب الاستقلال;FTIMA BENAZZA;فطيمة بن عزة;2021-10-08;;;187263;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;LATIFA CHRIF;لطيفة الشريف;2021-10-08;;;73264;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;MP;Mouvement Populaire;حزب الحركة الشعبية;FATIMA EL KCHOUTI;فاطمة الكشوتي;2021-10-08;;;72673;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;FARIDA KHNITI;فريدة خنيتي;2021-10-08;;;59238;0,47;528806
Législative;Législative-Régionale;Oriental;;;Circonscription régionale : Oriental;députée femme;PJD;Parti de la Justice et du Développement;حزب العدالة والتنمية;FATIMA ZAHRA BATA;فاطمة الزهراء باتا;2021-10-08;;;31784;0,47;528806
Législative;Législative-Locale;Oriental;Driouch;;Driouch;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ABDELMOUNHIM FETTAHI;عبد المنعم الفتاحي;2021-10-08;2022-08-04;Fraude électorale;17939;0,59;76245
Législative;Législative-Locale;Oriental;Driouch;;Driouch;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOSTAFA KHALFIOUI;المصطفى الخلفيوي;2021-10-08;2022-08-04;Inéligibilité;16658;0,59;76245
Législative;Législative-Locale;Oriental;Nador;;Nador;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMMADI TOUHTOUH;محمادي توحتوح;2021-10-08;;;35973;0,46;116468
Législative;Législative-Locale;Oriental;Nador;;Nador;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;RAFIK MAJAIT;رفيق مجعيط;2021-10-08;;;23301;0,46;116468
Législative;Législative-Locale;Oriental;Nador;;Nador;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;MOHAMED ABERKANE;محمد ابركان;2021-10-08;;;18791;0,46;116468
Législative;Législative-Locale;Oriental;Nador;;Nador;député;PI;Parti de l'Istiqlal;حزب الاستقلال;MOHAMED TAIBI;محمد الطيبي;2021-10-08;;;15915;0,46;116468
Législative;Législative-Locale;Oriental;Berkane;;Berkane;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMED SADIKI;محمد صديقي;2021-10-08;2021-11-02;Incompatibilité;23797;0,52;71093
Législative;Législative-Locale;Oriental;Berkane;;Berkane;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ABDELHAKIM BOUAZZA BEN ABDELLAH;عبد الحكيم بوعزة بنعبد الله;2021-10-08;;;17148;0,52;71093
Législative;Législative-Locale;Oriental;Berkane;;Berkane;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMMED IBRAHIMI;محمد ابراهيمي;2021-10-08;;;12174;0,52;71093
Législative;Législative-Locale;Oriental;Taourirt;;Taourirt;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MILOUD NACER;الميلود ناصر;2021-10-08;;;13721;0,49;57943
Législative;Législative-Locale;Oriental;Taourirt;;Taourirt;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ABDERRAHMANE SEHLI;عبد الرحمان سهلي;2021-10-08;;;13163;0,49;57943
Législative;Législative-Locale;Oriental;Jerada;;Jerada;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;RADOUANE BOUGATAYA;رضوان بوكطاية;2021-10-08;;;9855;0,6;39239
Législative;Législative-Locale;Oriental;Jerada;;Jerada;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOSTAPHA TOUTOU;مصطفى توتو;2021-10-08;;;9332;0,6;39239
Législative;Législative-Locale;Oriental;Guercif;;Guercif;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ALI JEGHAOUI;علي الجغاوي;2021-10-08;2022-07-19; Violation de l’état d’urgence sanitaire;15324;0,58;57936
Législative;Législative-Locale;Oriental;Figuig;;Figuig;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;HAMID CHAYA;حميد الشاية;2021-10-08;;;16912;0,67;51184
Législative;Législative-Locale;Oriental;Figuig;;Figuig;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMMED JAMELEDDINE;محمد جمال الدين;2021-10-08;;;12392;0,67;51184
Législative;Législative-Locale;Oriental;Figuig;;Figuig;député;PI;Parti de l'Istiqlal;حزب الاستقلال;EL KEBIR KADA;الكبير قادة;2021-10-08;;;6162;0,67;51184
Législative;Législative-Locale;Oriental;Oujda - Angad;;Oujda - Angad;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;BADIA ELFILALI;بديعة الفيلالي;2021-10-08;;;21979;0,25;61207
Législative;Législative-Locale;Oriental;Oujda - Angad;;Oujda - Angad;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMED HOUAR;محمد هوار;2021-10-08;;;19678;0,25;61207
Législative;Législative-Locale;Oriental;Oujda - Angad;;Oujda - Angad;député;PI;Parti de l'Istiqlal;حزب الاستقلال;OMAR HJIRA;عمر حجيرة;2021-10-08;;;5050;0,25;61207
Législative;Législative-Locale;Oriental;Oujda - Angad;;Oujda - Angad;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;OMAR ANANE;عمر اعنان;2021-10-08;;;3319;0,25;61207
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;ZINA CHAHIM;زينة شاهيم;2021-10-08;;;509413;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;SAMIRA KAYSSOUR;سميرة قصيور;2021-10-08;;;509413;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;PI;Parti de l'Istiqlal;حزب الاستقلال;MAROUA AL ANSARI;مروى الانصاري;2021-10-08;;;312253;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ILHAM SAKI;الهام الساقي;2021-10-08;;;298389;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;MP;Mouvement Populaire;حزب الحركة الشعبية;FEDWA MOHCINE HAYYANI;فدوى محسن الحياني;2021-10-08;;;180919;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;IKRAM EL HANNAOUI;اكرام الحناوي;2021-10-08;;;127054;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;KHDOUJ SLASSI;خدوج السلاسي;2021-10-08;;;113329;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;PJD;Parti de la Justice et du Développement;حزب العدالة والتنمية;NADIA EL KANSOURI;نادية القنصوري;2021-10-08;;;75728;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;HAKIMA S’HAKI;حكيمة سحاقي;2021-10-08;;;57547;0,52;924089
Législative;Législative-Régionale;Fès - Meknès;;;Circonscription régionale : Fès - Meknès;députée femme;FFD;Parti du Front des Forces Démocratiques;حزب جبهة القوى الديمقراطية;RIM CHABAT;ريم شباط;2021-10-08;;;45999;0,52;924089
Législative;Législative-Locale;Fès - Meknès;El-Hajeb;;El-Hajeb;député;PI;Parti de l'Istiqlal;حزب الاستقلال;LAHCEN ELAMOUD;لحسن العمود;2021-10-08;;;23569;0,7;78828
Législative;Législative-Locale;Fès - Meknès;El-Hajeb;;El-Hajeb;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;OUAHID HAKIM;وحيد حكيم;2021-10-08;;;21115;0,7;78828
Législative;Législative-Locale;Fès - Meknès;Ifrane;;Ifrane;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;ABDERRAZAK HACHIMI;عبد الرزاق هاشيمي;2021-10-08;;;19595;0,64;51544
Législative;Législative-Locale;Fès - Meknès;Boulemane;;Boulemane;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMED CHAOUKI;محمد شوكي;2021-10-08;;;28802;0,76;71897
Législative;Législative-Locale;Fès - Meknès;Boulemane;;Boulemane;député;MP;Mouvement Populaire;حزب الحركة الشعبية;HASSAN LAENSER;حسن العنصر;2021-10-08;;;9499;0,76;71897
Législative;Législative-Locale;Fès - Meknès;Boulemane;;Boulemane;député;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;RACHID HAMOUNI;رشيد حموني;2021-10-08;;;8874;0,76;71897
Législative;Législative-Locale;Fès - Meknès;Taza;;Taza;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ABDELOUAHAD EL MASSAOUDI;عبد الواحد المسعودي;2021-10-08;;;27665;0,58;141507
Législative;Législative-Locale;Fès - Meknès;Taza;;Taza;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;KHALIL ESSADIKI;خليل الصديقي;2021-10-08;;;25146;0,58;141507
Législative;Législative-Locale;Fès - Meknès;Taza;;Taza;député;MP;Mouvement Populaire;حزب الحركة الشعبية;ABDELMAJID BEN KAMRA;عبد المجيد بن كمرة;2021-10-08;;;18370;0,58;141507
Législative;Législative-Locale;Fès - Meknès;Taza;;Taza;député;PI;Parti de l'Istiqlal;حزب الاستقلال;MOUNIR CHENTIR;منير شنتير;2021-10-08;;;17962;0,58;141507
Législative;Législative-Locale;Fès - Meknès;Taza;;Taza;député;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;AHMED EL ABBADI;احمد العبادي;2021-10-08;;;15648;0,58;141507
Législative;Législative-Locale;Fès - Meknès;Taounate;;Taounate - Tissa;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;BOUCHTA BOUSSAF;بوشتى بوصف;2021-10-08;;;39235;0,7;99666
Législative;Législative-Locale;Fès - Meknès;Taounate;;Taounate - Tissa;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;ABDELLATIF EL-FOUIKAR;عبد اللطيف الفويقر;2021-10-08;;;23819;0,7;99666
Législative;Législative-Locale;Fès - Meknès;Taounate;;Taounate - Tissa;député;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;ABDELLAH EL IDRISSI EL BOUZIDI;عبد الله الادريسي البوزيدي;2021-10-08;;;13037;0,7;99666
Législative;Législative-Locale;Fès - Meknès;Taounate;;Karia - Rhafsai;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;NOUR-DEN KCHIBEL;نور الدين قشيبل;2021-10-08;;;32249;0,74;100806
Législative;Législative-Locale;Fès - Meknès;Taounate;;Karia - Rhafsai;député;PI;Parti de l'Istiqlal;حزب الاستقلال;M'FEDDAL TAHRI;المفضل الطاهري;2021-10-08;;;25155;0,74;100806
Législative;Législative-Locale;Fès - Meknès;Taounate;;Karia - Rhafsai;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMED EL-HEJIRA;محمد الحجيرة;2021-10-08;;;22893;0,74;100806
Législative;Législative-Locale;Fès - Meknès;Sefrou;;Sefrou;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;HAFID OUACHAK;حفيظ وشاك;2021-10-08;;;21648;0,64;89500
Législative;Législative-Locale;Fès - Meknès;Sefrou;;Sefrou;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;IDRISS CHEBCHALI;ادريس الشبشالي;2021-10-08;;;19740;0,64;89500
Législative;Législative-Locale;Fès - Meknès;Sefrou;;Sefrou;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;DRISS CHTIBI;ادريس اشطيبي;2021-10-08;;;19006;0,64;89500
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Janoubia;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;RACHID EL FAYEK;رشيد الفايق;2021-10-08;;;16451;0,28;55868
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Janoubia;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ALLAL AMRAOUI;علال العمروي;2021-10-08;;;7842;0,28;55868
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Janoubia;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;AZIZ LEBBAR;عزيز اللبار;2021-10-08;;;7551;0,28;55868
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Janoubia;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;ABDELKADER BOUSSAIRI;عبد القادر البوصيري;2021-10-08;;;5699;0,28;55868
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Chamalia;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;THAMI OUAZZANI THAMI;التهامي الوزاني التهامي;2021-10-08;;;9244;0,27;47660
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Chamalia;député;FFD;Parti du Front des Forces Démocratiques;حزب جبهة القوى الديمقراطية;RAOUF ABDELLAOUI MAAN;رءوف عبدلاوي معن;2021-10-08;;;7776;0,27;47660
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Chamalia;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ABDEMAJID FASSI-FIHRI;عبدالمجيد الفاسي الفهري;2021-10-08;;;6876;0,27;47660
Législative;Législative-Locale;Fès - Meknès;Fès;;Fès-Chamalia;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;KHADIJA HAJJOUBI;خديجة حجوبي;2021-10-08;;;5774;0,27;47660
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;PI;Parti de l'Istiqlal;حزب الاستقلال;ABDELOUAHED EL ANSARI;عبد الواحد الانصاري;2021-10-08;2021-11-04;Incompatibilité;29425;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;BADER TAHIRI;بدر طاهري;2021-10-08;2022-04-19;Inéligibilité;28336;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;MP;Mouvement Populaire;حزب الحركة الشعبية;ABDELKADER LABRIGUI;عبدالقادر لبريكي;2021-10-08;;;22550;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;ELABBES MRHARI;العباس الومغاري;2021-10-08;;;12966;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;JAOUAD CHAMI;جواد الشامي;2021-10-08;;;10347;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Meknès;;Meknès;député;PJD;Parti de la Justice et du Développement;حزب العدالة والتنمية;ABDELLAH BOUANOU;عبد الله بووانو;2021-10-08;;;7459;0,37;130369
Législative;Législative-Locale;Fès - Meknès;Moulay-Yacoub;;Moulay-Yacoub;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;LAHCEN BELMKADEM;الحسن بلمقدم;2021-10-08;;;18296;0,74;55931
Législative;Législative-Locale;Fès - Meknès;Moulay-Yacoub;;Moulay-Yacoub;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;THAMI AKBI;التهامي عكبي;2021-10-08;;;14228;0,74;55931
Législative;Législative-Régionale;Rabat - Salé - Kénitra;;;Circonscription régionale : Rabat - Salé - Kénitra;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;YASMINE LEMGHOUR;ياسمين لمغور;2021-10-08;;;530546;0,48;951326
Législative;Législative-Régionale;Rabat - Salé - Kénitra;;;Circonscription régionale : Rabat - Salé - Kénitra;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;TOURIA EL AZZAOUI;ثورية العزاوي;2021-10-08;;;530546;0,48;951326
Législative;Législative-Régionale;Rabat - Salé - Kénitra;;;Circonscription régionale : Rabat - Salé - Kénitra;députée femme;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;LATIFA LABLIH;لطيفة لبليح;2021-10-08;;;281712;0,48;951326
